from	to	interaction
0	1867	shm
9	323	shm
9	701	shm
9	1213	shm
9	1220	shm
9	1241	shm
9	1384	shm
9	1502	shm
9	1787	shm
9	1856	shm
9	1933	shm
9	1942	shm
152	323	shm
152	1717	shm
152	1720	shm
152	2004	shm
416	701	shm
416	1720	shm
416	1772	shm
476	1220	shm
476	1539	shm
476	1738	shm
588	1787	shm
588	1857	shm
701	1659	shm
754	1857	shm
2118	1494	shm
1857	2004	shm
1108	1955	shm
1173	1376	shm
414	506	shm
414	1654	shm
506	824	shm
506	1759	shm
506	1949	shm
824	1289	shm
824	1786	shm
1654	1289	shm
1759	1289	shm
1654	1759	shm
931	2051	shm
2019	21	shm
21	2120	shm
2120	27	shm
27	1817	shm
27	1952	shm
1498	1137	shm
1093	1820	shm
224	1203	shm
161	1776	shm
161	1945	shm
161	2047	shm
161	2122	shm
1945	1434	shm
267	1570	shm
1012	2074	shm
13	1050	shm
13	1281	shm
13	1544	shm
13	1734	shm
13	1913	shm
13	1992	shm
1050	1284	shm
1992	1284	shm
282	1896	shm
298	1359	shm
1025	1368	shm
92	2087	shm
989	1602	shm
689	1604	shm
293	1805	shm
2102	2015	shm
482	1392	shm
138	1327	shm
138	2023	shm
2050	1656	shm
807	20	shm
20	2050	shm
807	715	shm
807	1736	shm
2050	1404	shm
758	1624	shm
1806	758	shm
130	433	shm
130	67	shm
67	1953	shm
67	2076	shm
130	986	shm
130	1477	shm
56	2106	shm
652	1748	shm
1485	2018	shm
976	1824	shm
1028	1960	shm
770	1965	shm
683	1753	shm
607	2044	shm
557	2103	shm
1112	2039	shm
779	1540	shm
779	1681	shm
854	1419	shm
955	2098	shm
407	1929	shm
675	1630	shm
69	638	shm
69	1207	shm
69	1491	shm
69	1598	shm
638	2092	shm
1598	2092	shm
1821	473	shm
1821	2116	shm
543	2123	shm
667	1430	shm
1248	1369	shm
1248	1411	shm
751	1382	shm
600	1542	shm
600	2095	shm
318	1448	shm
1062	2024	shm
377	1899	shm
377	1951	shm
1899	1888	shm
882	465	shm
972	1726	shm
157	1402	shm
118	1130	shm
118	1567	shm
1110	2062	shm
1130	1288	shm
1130	2043	shm
1567	1288	shm
163	1300	shm
163	1562	shm
163	2029	shm
734	1808	shm
873	1639	shm
1639	1318	shm
1318	1832	shm
1639	1832	shm
1055	1957	shm
1864	1486	shm
1163	1176	shm
1163	1874	shm
1163	1976	shm
1176	1976	shm
28	1322	shm
28	1573	shm
28	1812	shm
1565	1380	shm
1141	1725	shm
284	1189	shm
284	1566	shm
1141	1463	shm
902	1406	shm
36	1572	shm
640	1872	shm
488	1249	shm
183	1636	shm
14	16	shm
14	102	shm
14	177	shm
14	256	shm
14	1389	shm
14	1571	shm
14	1789	shm
16	1310	shm
16	1902	shm
16	1961	shm
16	2101	shm
177	136	shm
136	1509	shm
256	404	shm
256	1702	shm
256	1830	shm
404	1396	shm
190	1351	shm
834	1561	shm
248	1393	shm
93	1226	shm
93	1343	shm
93	2031	shm
93	2046	shm
93	2094	shm
589	1397	shm
886	1450	shm
814	1622	shm
17	1224	shm
17	1332	shm
17	1811	shm
17	1948	shm
17	1958	shm
698	1460	shm
146	1493	shm
740	1930	shm
401	1519	shm
654	1331	shm
654	1842	shm
254	1429	shm
64	1771	shm
64	1829	shm
64	1937	shm
121	1627	shm
210	472	shm
472	454	shm
332	1499	shm
332	1845	shm
332	1975	shm
332	2045	shm
1499	1667	shm
1975	1667	shm
1041	231	shm
231	1910	shm
381	314	shm
381	898	shm
1041	381	shm
381	1658	shm
1041	1075	shm
1041	1296	shm
1041	1783	shm
1921	1576	shm
1246	2065	shm
75	1683	shm
1742	1998	shm
1379	1580	shm
1278	1849	shm
57	1357	shm
165	2028	shm
201	1591	shm
341	1547	shm
1261	1364	shm
1027	2067	shm
239	329	shm
239	1409	shm
239	1882	shm
